URL,SEO Title,Title Length,Meta Description,Description Length,Focus Keyword,Yoast Notes
/,Computer Repair Satellite Beach FL | My Computer Tech,53,Local computer repair, laptop help, WiFi setup, virus removal, and small business IT support for Satellite Beach and nearby Brevard County.,144,Computer Repair & IT Support Satellite Beach FL,"Title under 60; description under 155; add exact focus keyword in first paragraph."
/services,Computer Repair Services | Satellite Beach FL,44,Computer repair, laptop repair, printer setup, WiFi help, and virus removal for Satellite Beach, Melbourne, and nearby areas.,131,Beachside Computer Repair Services,"Strong service hub title; use service links early on page."
/service-areas,Computer Repair Areas | Brevard County FL,40,See the Brevard County areas My Computer Tech serves for computer repair, laptop support, WiFi help, and local onsite service.,129,Computer Repair Brevard County,"Add links to all location pages."
/about,About My Computer Tech | Brevard County FL,40,Learn about My Computer Tech, a local computer repair and IT support business serving Satellite Beach and Brevard County customers.,130,About My Computer Tech,"Add stronger trust and local entity signals."
/contact,Contact My Computer Tech | Satellite Beach FL,43,Request local computer repair, WiFi help, printer setup, or IT support from My Computer Tech in Satellite Beach and nearby areas.,134,Contact Computer Repair Satellite Beach FL,"Add local FAQ and service links near form."
/blog,Computer Repair Blog | Brevard County FL,39,Local computer repair articles covering slow PCs, WiFi issues, printer setup, virus removal, and small business IT support.,129,Computer Repair Blog Brevard County,"Archive page needs richer intro and internal links."
/computer-repair-melbourne-fl/,Computer Repair Melbourne FL | My Computer Tech,46,Computer repair in Melbourne FL for desktops, slow PCs, startup issues, software problems, and practical local support.,125,Computer Repair Melbourne FL,"Money page. Keep H1 exact match."
/computer-repair-satellite-beach-fl/,Computer Repair Satellite Beach FL | My Computer Tech,52,Satellite Beach computer repair for laptops, desktops, cleanup, malware removal, WiFi problems, and practical local service.,131,Computer Repair Satellite Beach FL,"Primary service landing page."
/computer-repair-palm-bay-fl/,Computer Repair Palm Bay FL | My Computer Tech,45,Computer repair in Palm Bay FL for home users and small businesses needing local support, cleanup, setup, and troubleshooting.,132,Computer Repair Palm Bay FL,"Use strong CTA and service-area trust copy."
/laptop-repair-melbourne-fl/,Laptop Repair Melbourne FL | My Computer Tech,43,Laptop repair in Melbourne FL for charging issues, slow performance, setup problems, and practical local troubleshooting.,124,Laptop Repair Melbourne FL,"Add device symptom FAQ."
/virus-removal-melbourne-fl/,Virus Removal Melbourne FL | My Computer Tech,44,Virus removal in Melbourne FL for malware, popups, browser hijacks, and suspicious computer behavior that needs cleanup.,125,Virus Removal Melbourne FL,"Use security-focused FAQ and CTA."
/business-it-support-melbourne-fl/,Business IT Support Melbourne FL | My Computer Tech,50,Business IT support in Melbourne FL for computers, WiFi, printers, Microsoft 365, and practical small business help.,122,Business IT Support Melbourne FL,"B2B page. Use uptime and response language."
/wifi-troubleshooting-melbourne-fl/,WiFi Troubleshooting Melbourne FL | My Computer Tech,50,WiFi troubleshooting in Melbourne FL for weak signal, unstable connections, router setup, and home or office network issues.,130,WiFi Troubleshooting Melbourne FL,"Use local router/network intent."
/remote-computer-support-florida/,Remote Computer Support Florida | My Computer Tech,50,Remote computer support across Florida for software issues, email help, account setup, troubleshooting, and guided repair.,125,Remote Computer Support Florida,"Clarify what remote support can and cannot handle."
/windows-11-upgrade-help/,Windows 11 Upgrade Help | My Computer Tech,40,Get Windows 11 upgrade help for compatibility checks, setup, cleanup, backups, and practical guidance before you upgrade.,123,Windows 11 Upgrade Help,"Use upgrade checklist and FAQ."
/refurbished-computers-brevard-county/,Refurbished Computers | Brevard County FL,40,Shop refurbished computers in Brevard County, including practical laptops and desktops for home, office, and backup use.,123,Refurbished Computers Brevard County,"Use product-trust language and inventory disclaimer."
/data-recovery-melbourne-fl/,Data Recovery Melbourne FL | My Computer Tech,42,Data recovery in Melbourne FL for missing files, failing drives, backup problems, and practical recovery guidance.,112,Data Recovery Melbourne FL,"Add backup and urgency CTA."
